 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | Habitat-Habitat
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | REC-AGE-yr
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | TB-TYPE-0-1
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | TB-AGE-yr
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | SSB-AGE-yr
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | TB-TYPE-0-1
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | Habitat-Habitat
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | F-CALC-0-1-2
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | M-1/T
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | TB-AGE-yr
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | REC-AGE-yr
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | F-AGE-yr-yr
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            | Z-AGE-yr-yr
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | F-CALC-0-1-2
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | Fref-1/T
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | Habitat-Habitat
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | REC-AGE-yr
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | SSB-AGE-yr
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | M-1/T
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | TB-TYPE-0-1
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | F-AGE-yr-yr
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           | TB-AGE-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | F-AGE-yr-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | A50-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | SSB-AGE-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | F-CALC-0-1-2
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | Bmsy-MT
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | TB-AGE-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | F0.1-1/yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | SSB-SEX-sex
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | M-1/T
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | BH-h-dimensionless
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | F-SEX-sex
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | Habitat-Habitat
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | REC-AGE-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | REC-ESTIMATED-yr-yr
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           | TB-TYPE-0-1
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | SSBrk50-MT
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | Z-AGE-yr-yr
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | Habitat-Habitat
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | A50-yr
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | SSBnp50-MT
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | A50min-yr
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | SSBrecovery-MT
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | SSBbh50-MT
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | L50-cm
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | A50max-yr
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        | MORATOR-yr-yr
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | TB-AGE-yr
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | L50-cm
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | A50-yr
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | F-CALC-0-1-2
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | TB-TYPE-0-1
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | MAT-SEX-sex
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | LEN-SEX-sex
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | REC-AGE-yr
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | MAT-CALC-0-1
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       | SSB-SEX-sex
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | A50-1-yr
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | MORATOR-yr-yr
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | Z-AGE-yr-yr
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | Blim-MT
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | A50-2-yr
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | L50-1-cm
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | Habitat-Habitat
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       | L50-2-cm
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | F-CALC-0-1-2
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | A50max-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | Habitat-Habitat
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | REC-AGE-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | M-1/T
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | Z-AGE-yr-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | SSB-AGE-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | A50min-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | MAX-AGE-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | TB-TYPE-0-1
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | MAT-CALC-0-1
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | MAT-SEX-sex
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | F-AGE-yr-yr
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | MAT-MODEL-option
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    | A50-yr
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | MAT-SEX-sex
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | A50min-yr
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | Habitat-Habitat
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | MAT-CALC-0-1
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | MAT-MODEL-option
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | MORATOR-yr-yr
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | A50max-yr
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | SSBrecovery-1-MT
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | A50-yr
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        | M-1/T
 PREFONTAINE | DFO-NFLD-MONK2J3KLNOPs-1985-2000-PREFONTAINE | LW-a-kg/cm
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | F-AGE-yr-yr
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | Z-AGE-yr-yr
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | SSB-AGE-yr
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | Habitat-Habitat
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | REC-AGE-yr
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | F-CALC-0-1-2
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | M-1/T
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        | TB-TYPE-0-1
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | MAT-CALC-0-1
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | SSB-AGE-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | A50max-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | A50-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | MAT-MODEL-option
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | F-AGE-yr-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | REC-AGE-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | A50min-yr
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | TB-TYPE-0-1
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | Habitat-Habitat
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | M-1/T
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      | F-CALC-0-1-2
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       | Habitat-Habitat
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       | L50min-1-cm
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       | L50-1-cm
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       | L50-2-cm
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       | L50max-cm
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | MAT-CALC-0-1
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | M-1/T
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | REC-AGE-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | TB-TYPE-0-1
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | SSB-AGE-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | Fmax-1/yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | F-AGE-yr-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | A50max-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | A50-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | Habitat-Habitat
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | REC-ESTIMATED-yr-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | F0.1-1/yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | F-CALC-0-1-2
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | A50min-yr
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       | Blim-MT
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | Fmax-1/yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | F-AGE-yr-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | A50-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | TB-TYPE-0-1
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | Blim-MT
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | F0.1-1/yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | Habitat-Habitat
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | A50max-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | MAT-CALC-0-1
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | REC-ESTIMATED-yr-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | A50min-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | F-CALC-0-1-2
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | M-1/T
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | SSB-AGE-yr
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       | REC-AGE-yr
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | M-1/T
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | TB-TYPE-0-1
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | MAT-CALC-0-1
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | Z-AGE-yr-yr
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | Habitat-Habitat
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | F-CALC-0-1-2
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | F-AGE-yr-yr
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         | A50-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | A50-2-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | M-1/T
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | TB-AGE-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | F-AGE-yr-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | MAT-CALC-0-1
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | A50max-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | L50-1-cm
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | MAT-SEX-sex
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | Blim-MT
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | Habitat-Habitat
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | LW-a-kg/cm
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | TB-TYPE-0-1
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | REC-AGE-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | A50min-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | SSB-SEX-sex
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | F0.1-1/yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | Bmsy-MT
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | LW-b-dimensionless
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | Z-AGE-yr-yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | Fmsy-1/yr
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | LEN-SEX-sex
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       | A50-1-yr
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | LW-a-kg/cm
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | Habitat-Habitat
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | F0.1-1/yr
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | LW-b-dimensionless
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | F-AGE-yr-yr
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | SSB-AGE-yr
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | M-1/T
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | REC-AGE-yr
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         | Fmax-1/yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | REC-AGE-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | MAT-CALC-0-1
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | M-1/T
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | Habitat-Habitat
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | SSB-AGE-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | TB-TYPE-0-1
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | A50min-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | MAT-MODEL-option
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | A50max-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | F-AGE-yr-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | A50-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | TB-AGE-yr
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | MAT-SEX-sex
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         | F-CALC-0-1-2
 PREFONTAINE | NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE   | REC-AGE-yr
 PREFONTAINE | NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE   | Habitat-Habitat
 PREFONTAINE | NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE   | Z-AGE-yr-yr
 PREFONTAINE | NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE    | M-1/T
 PREFONTAINE | NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE    | F0.1-1/yr
 PREFONTAINE | NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE    | REC-AGE-yr
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | F-AGE-yr-yr
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | TB-AGE-yr
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | F-CALC-0-1-2
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | M-1/T
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | Blrp-MT
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | Busr-MT
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | TB-TYPE-0-1
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | Habitat-Habitat
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        | REC-AGE-yr
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | TB-TYPE-0-1
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | F-CALC-0-1-2
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | F-AGE-yr-yr
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | Busr-MT
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | Habitat-Habitat
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | TB-AGE-yr
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | F0.1-1/yr
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | REC-AGE-yr
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | M-1/T
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        | Blrp-MT
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | MSY-MT
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | F40%-1/T
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | REC-AGE-yr
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | TB-TYPE-0-1
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | F-SEX-sex
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | M-1/T
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | L50-cm
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | F-AGE-yr-yr
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | A50-yr
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | Frebuild-1/T
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | TB-AGE-yr
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | MAT-CALC-0-1
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | SSBmsy-MT
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     | MAT-SEX-sex
 WIGLEY      | NEFSC-OPOUTNWATLC-1962-2008-WIGLEY           | Fmsy-1/T
 WIGLEY      | NEFSC-OPOUTNWATLC-1962-2008-WIGLEY           | Bmsy-MT
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | LW-b-dimensionless
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | Fcurrent-1/T
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | MAX-WGT-g
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | A50-yr
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | Habitat-Habitat
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | NATMORT-1/yr
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | L50-cm
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | Linf-cm
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | Trophiclevel-value
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                | MSY-MT
